BGGId,Rating_2025
174430,8.31292
161936,8.35472
224517,8.39915
167791,8.19349
233078,8.22204
291457,8.11178
220308,8.09131
187645,8.16902
182028,8.02376
115746,8.19414
162886,8.1415
193738,7.98541
12333,8.04714
169786,7.95612
84876,8.02423
173346,7.95783
167355,7.95103
120677,7.86517
124361,7.92973
28720,7.9591
177736,7.94308
266192,7.85674
316554,8.22315
205637,7.89698
183394,7.81525
164928,7.85955
237182,7.88151
96848,7.83794
199792,7.81707
3076,7.75651
175914,7.77651
102794,7.74012
170216,7.73163
266507,7.94216
31260,7.7301
276025,7.65146
285774,7.7907
192135,7.8645
221107,7.69861
205059,7.68666
312484,7.90584
284083,7.62743
251247,7.84024
247763,7.77503
248562,7.96757
185343,7.7368
246900,7.96732
126163,7.68546
2651,7.68511
180263,7.43686
55690,7.62455
216132,7.67309
209010,7.63416
164153,7.6558
35677,7.66181
256960,7.76799
184267,7.74447
230802,7.61197
125153,7.65944
271320,7.98818
72125,7.59476
25613,7.55781
161533,7.71221
191189,7.58755
244521,7.66972
124742,7.65431
521,7.79289
159675,7.59752
28143,7.61916
266810,7.66388
121921,7.55358
201808,7.60164
171623,7.55029
229853,7.57235
68448,7.55428
108687,7.49182
157354,7.61102
200680,7.64728
62219,7.55938
110327,7.58487
182874,7.70919
122515,7.50632
264220,7.5062
236457,7.51779
93,7.58868
18602,7.49612
37111,7.5289
12493,7.4694
73439,7.49404
40834,7.50445
146021,7.49525
172386,7.48497
269385,7.48485
205896,7.45487
170042,7.50451
160069,7.39077
314040,7.7409
163412,7.47659
144733,7.46662
42,7.50866
203993,7.49545
281259,7.38479
102680,7.47263
225694,7.54501
178900,7.43414
132531,7.41029
155821,7.53299
36218,7.47519
30549,7.41069
233371,7.43743
2511,7.37346
172287,7.41959
196340,7.44471
198928,7.4375
218417,7.46949
127023,7.37643
175155,7.44045
263918,7.39822
175640,7.45613
266524,7.40945
163068,7.53446
262712,7.39818
161970,7.39653
103885,7.36628
146652,7.37137
233398,7.37158
147020,7.40397
34635,7.38486
4098,7.48881
253344,7.7556
118048,7.40707
14996,7.39773
148949,7.37613
271324,7.39157
233867,7.35611
43015,7.46642
274364,7.39145
104162,7.32504
244522,7.367
9609,7.34176
77423,7.38717
43111,7.34318
284378,7.78857
287954,7.30455
150376,7.27863
82222,7.37118
54043,7.36425
220877,7.41603
17133,7.30379
128882,7.30772
10630,7.33483
217372,7.52544
254640,7.43996
155426,7.31487
221194,7.23806
70149,7.29673
103343,7.30673
283948,7.36678
463,7.40932
39463,7.31866
188920,7.3431
282524,7.30414
199561,7.32567
14105,7.28384
25021,7.31864
123260,7.28577
31627,7.30213
195421,7.24417
223321,7.17542
104006,7.28681
21050,7.23908
256916,7.57722
171131,7.29223
126042,7.25234
239188,7.16593
296151,7.37387
91,7.26063
265188,7.37251
224037,7.24023
182631,7.26393
154597,7.34182
245638,7.26167
283155,7.25322
146508,7.15378
148228,7.29207
215,7.27916
188,7.30889
146886,7.23781
308765,7.38189
189932,7.4161
12,7.52496
822,7.29575
9209,7.26418
317985,7.5667
194655,7.20103
176189,7.22059
109276,7.19917
129437,7.23064
54998,7.24892
249259,7.38866
242302,7.3201
188834,7.25684
9216,7.19883
555,7.2115
7854,7.26671
156129,7.22242
192291,7.22192
169426,7.21218
232832,7.23358
268864,7.39548
155068,7.13597
31481,7.18938
128621,7.18495
209418,7.3941
27833,7.16515
158600,7.22823
20551,7.19269
199478,7.2198
198994,7.20257
176494,7.21731
421,7.19347
27708,7.17806
19857,7.21587
140620,7.17861
118,7.3265
228341,7.20458
283355,7.35096
127060,7.17669
3,7.22504
155873,7.10794
241451,7.27706
306735,7.25656
108745,7.1537
204583,7.17473
24181,7.13052
92828,7.15137
269207,7.27822
271055,7.51932
318977,7.22172
97207,7.12291
144344,7.167
255984,7.70503
22545,7.11395
154203,7.10597
760,7.17534
38453,7.11667
181279,7.09879
286096,7.20722
176734,7.1332
271896,7.36119
232405,7.22165
66589,7.13168
222509,7.03198
193037,7.07517
224783,7.2156
279537,7.5549
93260,7.09504
19777,7.13692
59294,7.08843
295947,7.74515
2655,7.1699
203420,7.08678
206718,7.1682
235802,7.39688
48726,7.09036
165722,7.25987
171908,7.11699
160477,7.14366
54138,7.10092
13122,7.06721
