BGGId,Name,Rating_2021,Rating_2025,rating_change
174430,Gloomhaven,8.51488,8.31292,-0.2019599999999997
161936,Pandemic Legacy: Season 1,8.44451,8.35472,-0.08978999999999893
224517,Brass: Birmingham,8.41573,8.39915,-0.016579999999999373
167791,Terraforming Mars,8.27421,8.19349,-0.08071999999999946
233078,Twilight Imperium: Fourth Edition,8.25955,8.22204,-0.03751000000000104
291457,Gloomhaven: Jaws of the Lion,8.25163,8.11178,-0.13985000000000092
220308,Gaia Project,8.17758,8.09131,-0.08627000000000073
187645,Star Wars: Rebellion,8.17121,8.16902,-0.0021900000000005804
182028,Through the Ages: A New Story of Civilization,8.15369,8.02376,-0.12992999999999988
115746,War of the Ring: Second Edition,8.13104,8.19414,0.06310000000000038
162886,Spirit Island,8.13019,8.1415,0.011309999999999931
193738,Great Western Trail,8.1239,7.98541,-0.1384900000000009
12333,Twilight Struggle,8.11593,8.04714,-0.0687899999999999
169786,Scythe,8.06389,7.95612,-0.10777000000000037
84876,The Castles of Burgundy,8.00742,8.02423,0.016809999999999548
173346,7 Wonders Duel,7.98227,7.95783,-0.02443999999999935
167355,Nemesis,7.97629,7.95103,-0.025259999999999394
120677,Terra Mystica,7.96875,7.86517,-0.10358
124361,Concordia,7.96527,7.92973,-0.03554000000000013
28720,Brass: Lancashire,7.96277,7.9591,-0.003669999999999618
177736,A Feast for Odin,7.94487,7.94308,-0.0017899999999997362
266192,Wingspan,7.9413,7.85674,-0.08455999999999975
316554,Dune: Imperium,7.93066,8.22315,0.2924900000000008
205637,Arkham Horror: The Card Game,7.92962,7.89698,-0.03263999999999978
183394,Viticulture Essential Edition,7.8951,7.81525,-0.07985000000000042
164928,Orléans,7.88383,7.85955,-0.02428000000000008
237182,Root,7.88344,7.88151,-0.0019300000000006534
96848,Mage Knight Board Game,7.87988,7.83794,-0.04194000000000031
199792,Everdell,7.86622,7.81707,-0.04915000000000003
3076,Puerto Rico,7.83978,7.75651,-0.08327000000000062
175914,Food Chain Magnate,7.83205,7.77651,-0.0555399999999997
102794,Caverna: The Cave Farmers,7.82887,7.74012,-0.0887500000000001
170216,Blood Rage,7.81773,7.73163,-0.08610000000000007
266507,Clank!: Legacy – Acquisitions Incorporated,7.81653,7.94216,0.12563000000000013
31260,Agricola,7.81189,7.7301,-0.08178999999999981
276025,Maracaibo,7.79614,7.65146,-0.14468000000000014
285774,Marvel Champions: The Card Game,7.79499,7.7907,-0.004290000000000127
192135,Too Many Bones,7.79103,7.8645,0.07346999999999948
221107,Pandemic Legacy: Season 2,7.78863,7.69861,-0.09001999999999999
205059,Mansions of Madness: Second Edition,7.78798,7.68666,-0.1013200000000003
312484,Lost Ruins of Arnak,7.78621,7.90584,0.11963000000000079
284083,The Crew: The Quest for Planet Nine,7.77382,7.62743,-0.14638999999999935
251247,Barrage,7.76939,7.84024,0.07085000000000008
247763,Underwater Cities,7.76235,7.77503,0.012680000000000469
248562,Mage Knight: Ultimate Edition,7.76184,7.96757,0.20572999999999997
185343,Anachrony,7.75523,7.7368,-0.01843000000000039
246900,Eclipse: Second Dawn for the Galaxy,7.7546,7.96732,0.21272000000000002
126163,Tzolk'in: The Mayan Calendar,7.74221,7.68546,-0.05675000000000008
2651,Power Grid,7.74057,7.68511,-0.055460000000000065
180263,The 7th Continent,7.73817,7.43686,-0.30130999999999997
55690,Kingdom Death: Monster,7.73507,7.62455,-0.11052000000000017
216132,Clans of Caledonia,7.72396,7.67309,-0.05086999999999975
209010,Mechs vs. Minions,7.72202,7.63416,-0.08786000000000005
164153,Star Wars: Imperial Assault,7.72079,7.6558,-0.06498999999999988
35677,Le Havre,7.71199,7.66181,-0.05018000000000011
256960,Pax Pamir: Second Edition,7.71147,7.76799,0.056519999999999904
184267,On Mars,7.7036,7.74447,0.04086999999999996
230802,Azul,7.68794,7.61197,-0.07596999999999987
125153,The Gallerist,7.68781,7.65944,-0.028369999999999784
271320,The Castles of Burgundy,7.68653,7.98818,0.30164999999999953
72125,Eclipse,7.68475,7.59476,-0.08999000000000024
25613,Through the Ages: A Story of Civilization,7.67764,7.55781,-0.11983000000000033
161533,Lisboa,7.67509,7.71221,0.03711999999999982
191189,Aeon's End,7.67196,7.58755,-0.0844100000000001
244521,The Quacks of Quedlinburg,7.66965,7.66972,7.00000000000145e-05
124742,Android: Netrunner,7.66949,7.65431,-0.015179999999999971
521,Crokinole,7.66633,7.79289,0.12655999999999956
159675,Fields of Arle,7.65665,7.59752,-0.05912999999999968
28143,Race for the Galaxy,7.65225,7.61916,-0.03309000000000051
266810,Paladins of the West Kingdom,7.6517,7.66388,0.012179999999999858
121921,Robinson Crusoe: Adventures on the Cursed Island,7.65075,7.55358,-0.0971700000000002
201808,Clank!: A Deck-Building Adventure,7.64673,7.60164,-0.045090000000000074
171623,The Voyages of Marco Polo,7.64358,7.55029,-0.09328999999999965
229853,Teotihuacan: City of Gods,7.64274,7.57235,-0.07038999999999973
68448,7 Wonders,7.63557,7.55428,-0.08129000000000008
108687,Puerto Rico,7.6331,7.49182,-0.14128000000000007
157354,Five Tribes,7.62984,7.61102,-0.018819999999999837
200680,Agricola (Revised Edition),7.62175,7.64728,0.02553000000000072
62219,Dominant Species,7.6205,7.55938,-0.06111999999999984
110327,Lords of Waterdeep,7.61831,7.58487,-0.03344000000000058
182874,Grand Austria Hotel,7.60019,7.70919,0.10900000000000087
122515,Keyflower,7.59339,7.50632,-0.08707000000000065
264220,Tainted Grail: The Fall of Avalon,7.5894,7.5062,-0.0832000000000006
236457,Architects of the West Kingdom,7.58637,7.51779,-0.06857999999999986
93,El Grande,7.57836,7.58868,0.010320000000000107
18602,Caylus,7.5778,7.49612,-0.08167999999999953
37111,Battlestar Galactica: The Board Game,7.56635,7.5289,-0.03744999999999976
12493,Twilight Imperium: Third Edition,7.56215,7.4694,-0.09274999999999967
